Unnamed: 0,name,link,weight,category,drop,price
87,Salomon Spectur,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Salomon-Spectur-p58792/?pstart=145'],258,Neutral Cushion - High,6,159.99
88,Brooks Glycerin 17,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Glycerin-17-p51289/?pstart=145'],263,Neutral Cushion - High,10,159.99
89,On Cloud X,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloud-X-p57638/?pstart=145'],195,Neutral Cushion - Light,6,169.99
90,NB W880G v10,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W880G-v10-p54222/?pstart=145'],255,Neutral Cushion - Medium,10,80
91,Mizuno Wave Neo Wind,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Neo-Wind-p60106/?pstart=145'],201,Neutral Cushion - Medium,12,279.99
92,Brooks Levitate 4,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Levitate-4-p56745/?pstart=145'],263,Neutral Cushion - High,8,90
93,Asics Jolt 3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Asics-Jolt-3-p59682/?pstart=145'],224,Neutral Cushion - Medium,10,79.99
94,On Cloud,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloud-p54749/?pstart=145'],190,Neutral Cushion - Light,6,159.99
96,Saucony Peregrine Ice 2,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Peregrine-Ice-2-p57535/?pstart=145'],252,Neutral Cushion - Medium,4,199.99
97,Icebug NewRun BUGrip,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Icebug-NewRun-BUGrip-p58463/?pstart=145'],255,Neutral Cushion - High,7,189.99
98,NB W840BK V4,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W840BK-V4-p55748/?pstart=145'],301,Neutral Cushion - High,12,169.99
99,Nike Air Zoom Pegasus 38,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Nike-Air-Zoom-Pegasus-38-p57956/?pstart=145'],232,Neutral Cushion - High,10,159.99
101,Mizuno Wave Sky 5,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Sky-5-p57432/?pstart=145'],258,Neutral Cushion - High,8,199.99
102,Brooks Ghost 14 GTX,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Ghost-14-GTX-p57779/?pstart=145'],255,Neutral Cushion - Medium,12,194.99
103,On Cloud X 3.0,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloud-X-30-p59886/?pstart=145'],198,Neutral Cushion - Light,6,179.99
104,Brooks Ghost 15,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Ghost-15-p60040/?pstart=145'],249,Neutral Cushion - Medium,12,179.99
105,Mizuno Wave Rider 26 GTX,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Rider-26-GTX-p60113/?pstart=193'],266,Neutral Cushion - Medium,12,194.99
106,Saucony Peregrine Ice+ 3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Peregrine-Ice-3-p60159/?pstart=193'],264,Neutral Cushion - Medium,4,199.99
