,name,core score
290,Adidas Questar Flow NXT,76
291,Asics Gel Venture 8,80
292,Saucony Cohesion 14,82
293,Asics Versablast,77
294,Nike Zoom Span 3,78
295,Topo Athletic Phantom 2,86
296,Skechers GOrun Ride 9,87
297,Nike Air Zoom Winflo 8,82
298,Under Armour HOVR Machina 2,90
299,Diadora Mythos Blushield Volo,81
300,Asics Gel Sonoma 6,79
301,Adidas Terrex Speed Ultra,89
302,Adidas Ultraboost 5.0 DNA,92
303,Salomon Alphacross Blast,79
304,New Balance FuelCell RC Elite v2,80
305,Hoka Clifton 8,90
306,Puma Eternity Nitro,87
307,Merrell Vapor Glove 5,78
308,Mizuno Wave Inspire 17,90
309,The North Face Vectiv Enduris,91
310,Asics MetaSpeed Sky,89
311,Adidas Ultraboost 4.0 DNA,89
312,Asics Magic Speed,90
313,Merrell Rubato,86
314,On Cloudultra,85
315,New Balance Fresh Foam More v3,89
316,Salomon Predict 2,82
317,Under Armour Flow Velociti Wind,91
318,Puma Velocity Nitro,89
319,Skechers GOrun Razor Excess,85
320,Adidas Runfalcon 2.0,83
321,Nike Flex Experience Run 10,79
322,Nike React Escape Run,88
323,Asics Noosa Tri 13,92
324,Salomon Sense Ride 4,86
325,Asics Gel Contend 7,89
326,Adidas Fluidflow 2.0,81
327,Nike Renew Ride 2,75
328,Reebok Floatride Energy 3,92
329,New Balance Shando,77
330,New Balance FuelCell Rebel v2,91
331,Nike Air Zoom Pegasus 38,86
332,Saucony Xodus 11,88
333,Altra Rivera,86
334,Merrell Antora 2,84
335,Brooks Anthem 4,81
336,Under Armour HOVR Sonic 4,90
337,The North Face Flight Vectiv,86
338,Altra Timp 3,82
339,Nike Wildhorse 7,85
340,Saucony Ride 14,90
341,Asics Gel Cumulus 23,90
342,Nike Air Zoom Terra Kiger 7,85
343,Saucony Freedom 4,87
344,Nobull Knit Runner,88
345,Hoka Gaviota 3,86
346,Puma Deviate Nitro,86
347,Brooks Ricochet 3,86
348,Hoka Mach 4,92
349,Hoka Arahi 5,89
350,Saucony Peregrine 11 GTX,84
351,Saucony Peregrine 11 ST,91
352,Asics GlideRide 2,88
353,Asics Trail Scout,78
354,Brooks Launch GTS 8,91
355,Saucony Guide 14,89
356,Merrell Trail Glove 6,78
357,Saucony Canyon TR,89
358,Asics Gel Quantum 180 5,79
359,New Balance Fresh Foam Hierro v6,91
360,Merrell Agility Synthesis 2,80
361,Nike ZoomX Vaporfly NEXT% 2,91
